Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,579.200012,585.700012,573.599976,575.200012,573.309692,2787126
2022-12-19,574.950012,586.750000,574.200012,584.450012,582.529297,1960076
2022-12-20,583.000000,585.000000,578.549988,579.799988,577.894531,2166279
2022-12-21,585.000000,589.900024,571.299988,575.400024,573.509033,2694392
2022-12-22,576.400024,582.799988,574.000000,577.849976,575.950928,3424491
2022-12-23,574.950012,578.950012,564.150024,565.450012,563.591736,3234932
2022-12-26,562.500000,570.750000,562.500000,569.299988,567.429077,1962030
2022-12-27,572.000000,574.200012,567.450012,569.799988,567.927429,1511387
2022-12-28,569.700012,571.750000,566.349976,568.200012,566.332703,1452719
2022-12-29,566.000000,573.200012,559.150024,571.000000,569.123474,3393061
2022-12-30,572.049988,573.000000,565.200012,566.250000,564.389099,1690896
2023-01-02,565.000000,571.400024,561.250000,570.299988,568.425781,841928
2023-01-03,570.000000,600.000000,569.500000,595.599976,593.642639,10096217
2023-01-04,599.000000,609.900024,595.000000,598.599976,596.632751,7722662
2023-01-05,600.000000,612.400024,598.000000,609.450012,607.447144,5704967
2023-01-06,608.000000,620.599976,605.650024,611.650024,609.639893,5415866
2023-01-09,615.049988,618.049988,601.750000,608.450012,606.450439,3969535
2023-01-10,608.500000,613.049988,599.549988,600.200012,598.227539,4073524
2023-01-11,600.000000,605.549988,594.349976,599.849976,597.878662,3576811
2023-01-12,602.450012,605.799988,594.599976,598.400024,596.433472,2358813
2023-01-13,599.450012,607.599976,596.349976,604.500000,602.513367,3272285
2023-01-16,605.000000,612.599976,599.849976,604.200012,602.214417,2170216
2023-01-17,607.000000,610.599976,601.200012,609.450012,607.447144,1807515
2023-01-18,610.000000,610.049988,598.450012,601.049988,599.074707,3291651
2023-01-19,601.150024,611.000000,600.750000,605.250000,603.260925,3615736
2023-01-20,608.000000,608.400024,588.250000,590.549988,588.609253,4255202
2023-01-23,595.000000,596.450012,585.200012,589.200012,587.263672,3884783
2023-01-24,591.000000,594.750000,588.150024,589.549988,587.612488,2219052
2023-01-25,590.000000,591.750000,580.099976,585.049988,583.127319,1443501
2023-01-27,586.450012,593.900024,578.049988,587.700012,585.768616,3632289
2023-01-30,586.799988,592.349976,583.299988,587.950012,586.017822,2843943
2023-01-31,587.950012,589.500000,572.950012,578.849976,576.947693,3073978
2023-02-01,582.900024,584.650024,502.350006,515.700012,514.005249,22671272
2023-02-02,499.000000,505.250000,483.049988,492.700012,491.080811,17269387
2023-02-03,496.000000,499.000000,481.000000,488.899994,487.293304,10593983
2023-02-06,487.000000,489.750000,473.700012,482.049988,480.465790,7441590
2023-02-07,483.899994,491.500000,482.000000,482.950012,481.362854,7117626
2023-02-08,484.799988,510.299988,483.500000,508.549988,506.878723,10571918
2023-02-09,508.549988,522.700012,502.200012,518.650024,516.945557,9516815
2023-02-10,519.799988,528.400024,518.299988,522.549988,520.832703,7239045
2023-02-13,522.549988,526.000000,512.150024,514.500000,512.809143,3063664
2023-02-14,515.400024,517.450012,507.649994,512.049988,510.367218,2233957
2023-02-15,510.750000,520.000000,509.649994,519.099976,517.394043,2497424
2023-02-16,519.000000,522.000000,512.700012,514.599976,512.908813,1983991
2023-02-17,514.549988,514.549988,501.500000,504.250000,502.592865,4312084
2023-02-20,506.299988,522.750000,500.250000,507.950012,506.280701,6129396
2023-02-21,510.899994,514.799988,500.049988,501.049988,499.403351,2669387
2023-02-22,500.600006,501.750000,492.500000,494.450012,492.825073,2728046
2023-02-23,494.450012,494.950012,486.149994,486.850006,485.250031,4158416
2023-02-24,488.500000,490.000000,482.000000,482.850006,481.263184,2436219
2023-02-27,482.850006,490.899994,478.000000,488.700012,487.093964,2587409
2023-02-28,490.899994,491.700012,484.549988,488.799988,487.193604,3271808
2023-03-01,488.899994,490.850006,484.399994,489.750000,488.140503,1591916
2023-03-02,490.000000,491.250000,481.649994,482.799988,481.213318,2618651
2023-03-03,485.299988,492.549988,481.600006,489.950012,488.339874,2983486
2023-03-06,492.000000,496.750000,489.000000,490.149994,488.539185,3007451
2023-03-08,490.000000,496.350006,488.000000,495.200012,493.572601,5589817
2023-03-09,495.000000,496.600006,490.000000,491.250000,489.635590,2336282
2023-03-10,487.549988,491.149994,484.200012,490.250000,488.638855,2383642
2023-03-13,490.000000,495.500000,477.299988,478.950012,477.376007,2849642
2023-03-14,480.450012,485.350006,468.750000,470.549988,469.003601,8530038
2023-03-15,473.049988,478.450012,465.100006,466.700012,465.166260,6095528
